,ml_anomaly_detection_production,ml_automation,ml_defect_detection,ml_manufacturing_optimization,ml_planning_production,ml_plm,ml_predictive_maintenance,ml_process_control,ml_process_modeling,ml_process_optimization,ml_product_design,ml_product_development,ml_production_optimization,ml_quality_control,ml_robotics_production,ml_rul,ml_supply_chain
ml_anomaly_detection_production,705,21,18,26,26,1,110,26,3,6,1,2,93,24,21,6,25
ml_automation,21,1650,89,378,60,11,155,143,15,76,40,19,170,196,139,6,67
ml_defect_detection,18,89,682,131,4,0,33,98,2,44,8,0,55,178,11,2,4
ml_manufacturing_optimization,26,378,131,3938,152,7,243,357,48,617,91,36,1235,341,79,21,107
ml_planning_production,26,60,4,152,2295,8,85,44,8,11,25,20,623,41,102,14,177
ml_plm,1,11,0,7,8,252,6,4,0,2,16,8,8,4,2,0,5
ml_predictive_maintenance,110,155,33,243,85,6,4395,93,6,67,14,16,209,127,45,430,61
ml_process_control,26,143,98,357,44,4,93,3283,69,164,36,17,293,226,22,5,18
ml_process_modeling,3,15,2,48,8,0,6,69,758,12,8,3,57,14,2,1,0
ml_process_optimization,6,76,44,617,11,2,67,164,12,617,19,10,237,101,14,2,10
ml_product_design,1,40,8,91,25,16,14,36,8,19,1409,161,61,32,7,3,18
ml_product_development,2,19,0,36,20,8,16,17,3,10,161,915,37,18,9,3,16
ml_production_optimization,93,170,55,1235,623,8,209,293,57,237,61,37,7195,177,166,21,271
ml_quality_control,24,196,178,341,41,4,127,226,14,101,32,18,177,1382,37,2,38
ml_robotics_production,21,139,11,79,102,2,45,22,2,14,7,9,166,37,873,5,77
ml_rul,6,6,2,21,14,0,430,5,1,2,3,3,21,2,5,1555,2
ml_supply_chain,25,67,4,107,177,5,61,18,0,10,18,16,271,38,77,2,939
