query_a,size_a,query_b,size_b,overlap,union,jaccard,overlap_pct_of_a,overlap_pct_of_b
ml_anomaly_detection_production,705,ml_anomaly_detection_production,705,705,705,1.0,1.0,1.0
ml_anomaly_detection_production,705,ml_automation,1650,21,2334,0.008997,0.029787,0.012727
ml_anomaly_detection_production,705,ml_defect_detection,682,18,1369,0.013148,0.025532,0.026393
ml_anomaly_detection_production,705,ml_manufacturing_optimization,3938,26,4617,0.005631,0.036879,0.006602
ml_anomaly_detection_production,705,ml_planning_production,2295,26,2974,0.008742,0.036879,0.011329
ml_anomaly_detection_production,705,ml_plm,252,1,956,0.001046,0.001418,0.003968
ml_anomaly_detection_production,705,ml_predictive_maintenance,4395,110,4990,0.022044,0.156028,0.025028
ml_anomaly_detection_production,705,ml_process_control,3283,26,3962,0.006562,0.036879,0.00792
ml_anomaly_detection_production,705,ml_process_modeling,758,3,1460,0.002055,0.004255,0.003958
ml_anomaly_detection_production,705,ml_process_optimization,617,6,1316,0.004559,0.008511,0.009724
ml_anomaly_detection_production,705,ml_product_design,1409,1,2113,0.000473,0.001418,0.00071
ml_anomaly_detection_production,705,ml_product_development,915,2,1618,0.001236,0.002837,0.002186
ml_anomaly_detection_production,705,ml_production_optimization,7195,93,7807,0.011912,0.131915,0.012926
ml_anomaly_detection_production,705,ml_quality_control,1382,24,2063,0.011634,0.034043,0.017366
ml_anomaly_detection_production,705,ml_robotics_production,873,21,1557,0.013487,0.029787,0.024055
ml_anomaly_detection_production,705,ml_rul,1555,6,2254,0.002662,0.008511,0.003859
ml_anomaly_detection_production,705,ml_supply_chain,939,25,1619,0.015442,0.035461,0.026624
ml_automation,1650,ml_automation,1650,1650,1650,1.0,1.0,1.0
ml_automation,1650,ml_defect_detection,682,89,2243,0.039679,0.053939,0.130499
ml_automation,1650,ml_manufacturing_optimization,3938,378,5210,0.072553,0.229091,0.095988
ml_automation,1650,ml_planning_production,2295,60,3885,0.015444,0.036364,0.026144
ml_automation,1650,ml_plm,252,11,1891,0.005817,0.006667,0.043651
ml_automation,1650,ml_predictive_maintenance,4395,155,5890,0.026316,0.093939,0.035267
ml_automation,1650,ml_process_control,3283,143,4790,0.029854,0.086667,0.043558
ml_automation,1650,ml_process_modeling,758,15,2393,0.006268,0.009091,0.019789
ml_automation,1650,ml_process_optimization,617,76,2191,0.034687,0.046061,0.123177
ml_automation,1650,ml_product_design,1409,40,3019,0.013249,0.024242,0.028389
ml_automation,1650,ml_product_development,915,19,2546,0.007463,0.011515,0.020765
ml_automation,1650,ml_production_optimization,7195,170,8675,0.019597,0.10303,0.023628
ml_automation,1650,ml_quality_control,1382,196,2836,0.069111,0.118788,0.141823
ml_automation,1650,ml_robotics_production,873,139,2384,0.058305,0.084242,0.159221
ml_automation,1650,ml_rul,1555,6,3199,0.001876,0.003636,0.003859
ml_automation,1650,ml_supply_chain,939,67,2522,0.026566,0.040606,0.071353
ml_defect_detection,682,ml_defect_detection,682,682,682,1.0,1.0,1.0
ml_defect_detection,682,ml_manufacturing_optimization,3938,131,4489,0.029182,0.192082,0.033266
ml_defect_detection,682,ml_planning_production,2295,4,2973,0.001345,0.005865,0.001743
ml_defect_detection,682,ml_plm,252,0,934,0.0,0.0,0.0
ml_defect_detection,682,ml_predictive_maintenance,4395,33,5044,0.006542,0.048387,0.007509
ml_defect_detection,682,ml_process_control,3283,98,3867,0.025343,0.143695,0.029851
ml_defect_detection,682,ml_process_modeling,758,2,1438,0.001391,0.002933,0.002639
ml_defect_detection,682,ml_process_optimization,617,44,1255,0.03506,0.064516,0.071313
ml_defect_detection,682,ml_product_design,1409,8,2083,0.003841,0.01173,0.005678
ml_defect_detection,682,ml_product_development,915,0,1597,0.0,0.0,0.0
ml_defect_detection,682,ml_production_optimization,7195,55,7822,0.007031,0.080645,0.007644
ml_defect_detection,682,ml_quality_control,1382,178,1886,0.09438,0.260997,0.128799
ml_defect_detection,682,ml_robotics_production,873,11,1544,0.007124,0.016129,0.0126
ml_defect_detection,682,ml_rul,1555,2,2235,0.000895,0.002933,0.001286
ml_defect_detection,682,ml_supply_chain,939,4,1617,0.002474,0.005865,0.00426
ml_manufacturing_optimization,3938,ml_manufacturing_optimization,3938,3938,3938,1.0,1.0,1.0
ml_manufacturing_optimization,3938,ml_planning_production,2295,152,6081,0.024996,0.038598,0.066231
