doi,category,clean_abs
10.3390/electronics14112105,supervised,by the authorsthe optimization of business processes is essential for enhancing efficiency and competitiveness in todays dynamic industrial environment this study presents a novel approach that integrates artificial intelligence ai with failure mode and effects analysis fmea to automate risk assessment and enable predictive maintenance using realworld data from a glass manufacturing company sk we implemented machine learning modelsrandom forest and xgboostto predict risk priority number rpn values and classify failure risks the random forest regressor achieved an coeficient of determination r of mean absolute error mae of and root mean square error rmse of indicating high accuracy in risk prediction the random forest classifier reached a classification accuracy of with strong recall for highrisk cases making it practical for industrial deployment the proposed aienhanced fmea system supports dynamic risk management reduces downtime and improves maintenance planning our findings demonstrate that ai can significantly strengthen traditional fmea practices and serve as a foundation for intelligent datadriven decisionmaking in industrial environments
10.3389/frsus.2024.1388771,supervised,copyright abedsupply chains scs serve many sectors that are in turn affected by ecommerce which rely on the maketoorder mto system to avoid a risk in following the maketostoke mts policy due to poor forecasting demand which will be difficult if the products have short shelf life eg refrigeration foodstuffs the weak forecasting negatively impacts sc sectors such as production inventory tracking circular economy market demands transportation and distribution and procurement the forecasting obstacles are in ecommerce data types that are massive imbalanced and chaotic using machine learning ml algorithms to solve the problem works well because they quickly classify things which makes accurate forecasting possible however it was found that the accuracy of ml algorithms varies depending on the sc data sectors therefore the presented conceptual framework discusses the relations among ml algorithms the most related sectors and the effective scope of tackling their data which enables the companies to guarantee continuity and competitiveness by reducing shortages and return costs the data supplied show the ecommerce sales that were made at different online stores in egypt and the ksa during days the article proposes a novel mechanism that hybridizes the catboost algorithm with dingo optimization catdo to obtain precise forecasting the catdo has been compared with other six ml algorithms to check its superiority over autoregressive integrated moving average arima long shortterm memory lstm deep neural network dnn categorical data boost catboost support vector machine svm and lstmcatboost by and respectively transportation costs were reduced by
10.1016/j.eswa.2023.122947,supervised,elsevier ltdlargesized centrifugal pumps play a major role in produced water injection systems in oil and gas production monitoring this equipment operation is vital to guarantee its efficiency and to reduce the occurrence of unplanned downtimes the main goal of this work was to develop a fault detection system based on artificial intelligence ai algorithms for a water injection centrifugal pump located at an oil and gas companys offshore platform the convolutional neural network cnn was the main algorithm investigated in this work however other machine learning techniques ie support vector machines random forest and multilayer perceptrons were used to compare against the results achieved by the cnn a datadriven methodology was proposed for the stages of exploratory data analysis eda data labeling automatic hyperparameter optimization training and testing of the chosen models the results showed that the proposed methodology was effective and applicable the cnn and the support vector machine svm models presented interesting performances the cnn model returned precision and recall whereas the svm model returned precision and recall the challenges related to the use of a real dataset were also discussed emphasizing the data labeling step applying the kmeans clustering technique proved to be useful for labeling the data instances
,supervised,the proceedings contain papers the special focus in this conference is on advanced network technologies and intelligent computing the topics include exploratory study on different transformer models visionlingua empowering multimodal understanding with cuttingedge language models human action recognition using mediapipe holistic keypoints a deep learning approach machine learning for wastetoenergy optimization and predictive analytics enhanced traffic forecasting for urban planning using deepwalk embeddings and spatiotemporal graph ordinary differential equation model fault detection in semiconductor manufacturing using advanced machine learning techniques with interpretability finetuning retinanet for fewshot fruit detection smart street aipowered traffic flow enhancement with adaptive signal control a hybrid machine learning approach for accurate milk quality classification designing voicegpt chatterbox concierge a personal ai assistant for daily services using supervised machine learning based speech recognition techniques improved classification techniques using convolutional neural networks for rice plant disease detection enhancing customer segmentation and behavior prediction through machine learning and medium gaussian svm grapevine sdlc model for realtime fake news classification detecting aigenerated text using finetuned transformers a study on academic integrity moreco ai model recommendation and optimization for bg networks file prefetching accuracy enhancement using deep learning approaches mamba based conditional gan for optical cloud removal of satellite images a hybrid quantum machine learning model for multiclass classifier adaptive resource management in massive machinetype communications using reinforcement learning advanced machine learning and features based data analytics of electricity consumption in usa and india crossdomain adversarial attacks and robust defense mechanisms for multimodal neural networks deep feature fusion of local and global patterns for early detection of lung abnormalities in chest xrays
10.1115/1.4063003,supervised,by asmethe connectivity of modern vehicles allows for the monitoring and analysis of a large amount of sensor data from vehicles during their normal operations in recent years there has been a growing interest in utilizing this data for the purposes of predictive maintenance in this paper a multilabel transfer learning approach is proposed using different pretrained convolutional neural networks retrained with engine simulation data to predict the failure conditions of a selected set of engine components the retrained classifier networks are designed such that concurrent failure modes of an exhaust gas recirculation compressor intercooler and fuel injectors of a fourcylinder diesel engine can be identified timeseries simulation data of various failure conditions which include performance degradation are generated to retrain the classifier networks to predict which components are failing at any given time the test results of the retrained classifier networks show that the overall classification performance is good with the normalized value of mean average precision varying from to for most of the retrained networks to the best of the authors knowledge this work represents the first attempt to characterize such timeseries data utilizing a multilabel deep learning approach
,supervised,the proceedings contain papers the special focus in this conference is on computer science and education the topics include deep learning based network intrusion detection an optimization algorithm based on levys flight improvement image classification based on improved unsupervised clustering algorithm partial attentionbased directionaware vehicle reidentification a deep learningbased method for classroom crowd counting and localization use of computer vision to authenticate retail invoices with the convolutionneural networks automated analysis of chemistry experiment videos new challenges for video understanding exploiting adaptive adversarial transfer network for cross domain teachers speech emotion recognition optimization of replica technology with twostages dynamic factor in cloud environment personalized programming guidance based on deep programming learning style capturing design intelligent manufacturing teaching experiments with machine learning privacypreserving educational credentials management based on decentralized identity and zeroknowledge proof sentiment analysis of teaching evaluation based on complex semantic analysis an intelligent scheduling system for largescale online judging automated comment generation based on the large language model enhancing database principles teaching with chatgptlike language models assistant teaching system for computer hardware courses based on large language model automatic generation of multiplechoice questions for cs and cs curricula using large language models research of virtual simulation experiment system for geomorphologic evolution of taiwan strait study of encryption strategy based on multi owner attribute research on traffic flow prediction based on spatiotemporal correlation analysis hotspot prediction based on temporal characteristics governance framework and legal regulation of data security design of urban smart parking management system based on credit system research on shortterm traffic flow forecast based on improved cuckoo search algorithm
10.1504/ijmms.2022.127211,supervised,copyright inderscience enterprises ltdin manufacturing defect detection is typically performed manually to ensure the required quality of the produced parts however this is a labourintensive and timeconsuming process and therefore a lot of research focuses on its automation this work presents an investigation of four machine learning algorithms logistic regression support vector machines svm knearest neighbour knn and random forest rf as they have been applied to defect classification in steel plate manufacturing using the faulty steel plates public dataset these algorithms have been used in combination with different techniques to determine the most appropriate model inputs and parameters out of the investigated combinations the highest accuracy equal to was achieved by a rf classifier with polynomial feature engineering hyperparameter tuning and a grid search method finally a graphbased serial threestage custom classifier has also been developed which has achieved an accuracy of at least in every stage
10.14445/23488352/IJCE-V12I6P108,supervised,seventh sense research groupthis paper presents a machine learningbased predictive model to enhance material forecasting and resource optimization in preengineered building peb production random forest regression along with gridsearchcv for hyperparameter optimization and training is utilized in the proposed model a dataset of actualtime project executions with careful filtering based on stringent disaggregation requirements including fabrication completeness critical components of peb and quantity limitations is trained projects are probabilistically differentiated into p and and p or types and also differentiated into fabrication combinations c c c based on structural complexity and member contribution a subset of highly used and influential consumables is chosen from plus consumables commonly used to enhance model performance the proposed predictive model identifies a profitability percentage of in all the grouped datasets thereby asserting its feasibility for realworld use the proposed methodology facilitates proper material planning minimizes waste in fabrication and aids in strategic decisionmaking for mediumtolargescale industrial peb projects thereby driving sustainability and increasing operational efficiency
10.1007/s40964-023-00470-3,supervised,under exclusive licence to springer nature switzerland ag material extrusion is a wellrecognized facet of additive manufacturing that involves the fabrication of parts through the deposition of structural material from an extrusion head from a bulk supply in the subdivision of direct ink writing diw additive manufacturing challenges arise when the structural material is flowable synchronous extrusion control and tool movement becomes critical for achieving highquality parts with low defect populations diw techniques are most used in laboratory settings using expensive custom instruments and may require specialized d slicing software in this study the fabrication of an inexpensive consumerfriendly progressive cavity pump dispensing system is detailed in which can create highquality parts by executing gcode commands produced from a commercial slicing software the precision and repeatability of the movementsynchronized material extrusion is demonstrated through a series of optimization schemes entailing the alteration of various control parameters which directly affect the extrusion properties demonstrated during a print in situ diagnostics were implemented to evaluate the results of the established optimization experiment using a machine vision technique images of the optimization prints are processed following this a supervised machine learning model was trained to autonomously judge whether or not the extrusion parameters produced a passing or failing result the machine learning scheme serves as a preliminary benchmark for future layerbylayer evaluation of more complex diw parts the construction of the printer and development of in situ characterization capabilities demonstrates the ability for this printer to create highfidelity diw parts for a fraction of the price of other systems
10.1016/j.jia.2023.02.011,supervised,caasthe accurate prediction of soybean yield is of great significance for agricultural production monitoring and early warning although previous studies have used machine learning algorithms to predict soybean yield based on meteorological data it is not clear how different models can be used to effectively separate soybean meteorological yield from soybean yield in various regions in addition comprehensively integrating the advantages of various machine learning algorithms to improve the prediction accuracy through ensemble learning algorithms has not been studied in depth this study used and analyzed various daily meteorological data and soybean yield data from countylevel administrative regions and meteorological stations in two principal soybean planting areas in china northeast china and the huanghuai region covering years three effective machine learning algorithms knearest neighbor random forest and support vector regression were adopted as the basemodels to establish a highprecision and highlyreliable soybean meteorological yield prediction model based on the stacking ensemble learning framework the models generalizability was further improved through fold crossvalidation and the model was optimized by principal component analysis and hyperparametric optimization the accuracy of the model was evaluated by using the fiveyear sliding prediction and four regression indicators of the counties which showed that the stacking model has higher accuracy and stronger robustness the year sliding estimations of soybean yield based on the stacking model in counties showed that the prediction effect can reflect the spatiotemporal distribution of soybean yield in detail and the mean absolute percentage error mape was less than the stacking prediction model of soybean meteorological yield provides a new approach for accurately predicting soybean yield
