doi,category,clean_abs
10.23940/ijpe.21.02.p7.229240,supervised,"Carbide cutting tools form an essential part of the manufacturing industry. A cutting tool, as the name suggests, is a cutting aid, generally harder than the workpiece material which is used for cutting the workpiece material and removing excess material in the form of chips. Any deviation in its condition affects the complete material removal process with respect to quality, accuracy, and durability. Thus, a condition supervision system for fault identification has turned out to be a key priority. The current era of Machine Learning (ML) stimulates the induction of classifier training for tool condition. In this paper, a study on carbide cutting tools is presented during a turning operation carried out on a simple lathe machine. The signature analysis of vibration generated due to the change in the carbide tool condition is carried out. Finally, a Boosted Trees Ensemble is deployed for training of various tool conditions."
10.5937/zasmat2303308D,supervised,"distributed under.The textile products are affected by the defects during the manufacturing processes. It is also waste of the resources used for the production and in turn it affects the business. The manual inspection in defect detections is not encouraged these days in manufacturing process. The computer vision with machine learning algorithms in automated quality control system plays an important role in detecting defects in manufacturing process as well as analyzing the quality of products. Classification of defects in knitted fabric is an active area of research around the globe. This paper presents a classification method to detect defects such as holes and thick places in knitted fabric by applying artificial neural network algorithm. The artificial neural network algorithms learn from the input data after successful training process, it predicts the nature of the unknown samples in very fast and accurate way. The proposed work has been carried out in two phases. In the first phase the images of the defective samples of two classes were collected by a high-resolution camera. The color images of the samples were converted into grey scale images. The features were extracted from each grey scale image and stored in a database. In the second phase a neural classifier was trained with back–propagation neural Network (BPNN) algorithm on the training dataset. After successful training of the neural network on train dataset, the performance of the trained neural network was evaluated on the test dataset. Different experiments were carried out by increasing the number of training data samples; it was found that the best evaluation performance was obtained as 83.3%."
10.1007/978-3-030-29859-3_43,supervised,"Steel-making process is a complex procedure involving the presence of exogenous materials which could potentially lead to non-metallic inclusions. Determining the abundance of inclusions in the earliest stage possible may help to reduce costs and avoid further post-processing manufacturing steps to alleviate undesired effects. This paper presents a data analysis and machine learning approach to analyze data related to austenitic stainless steel (Type 304L) in order to develop a decision-support tool helping to minimize the inclusion content present in the final product. Several machine learning models (generalized linear models with regularization, random forest, artificial neural networks and support vector machines) were tested in this analysis. Moreover, two different outcomes were analyzed (average and maximum abundance of inclusions per steel cast) and two different settings were considered within the analysis based on the input features used to train the models (full set of features and more relevant ones). The results showed that the average abundance of inclusions can be predicted more accurately than the maximum abundance of inclusions using linear models and the reduced set of features. A list of the more relevant features linked to the abundance of inclusions based on the data and models used in this study is additionally provided."
10.1007/978-981-15-8289-9_5,supervised,"The assessment of the product development initiative remains a complicated issue requiring additional analysis. The efficiency of the development in software depends on an appropriate estimation of the effort needed for software development and enables project managers to design software life cycle operations correctly with the efficient software cost estimating techniques. The major experimental work conducted throughout this paper is to accurately forecast the problems in developing program-related projects. The parallelization of the behavior factors is achieved using the M5P approach to maintain statistical precision. Besides, performance differences with random forest are offered with the models acquired using the M5P Method to demonstrate the efficiency attained with each method."
10.2175/193864718825159678,supervised,"The shift towards energy-efficient wastewater treatment plants (WWTPs) necessitates maximizing carbon diversion and maintaining low carbon influent. High-rate Contact Stabilization (HiCS) is a promising A-stage process for enhancing carbon capture and energy generation. This study, conducted at Blue Plains Advanced WWTP, utilizes machine learning (ML) models to predict effluent suspended solids (ESS) in HiCS. Using two years of operational data, we developed high-frequency features classification and all-features regression models. Optimized models showed improved predictive accuracy, integrating key process parameters and advanced settleability measurements, demonstrating ML’s potential for enhanced control and stabilization in dynamic wastewater treatment environments."
10.1016/j.fcr.2023.109169,supervised,"V.Context: Excessive phosphorus (P) applications to ensure enhanced crop growth and increased profitability are commonly used, leading to declined P use efficiency and high P accumulation in most cultivated soils across north-western India. However, the effects of consistently applying excessive P fertilizers on soil test P (STP) levels, P availability, and maize production outcomes are poorly understood. Objectives: The study aims to find the long-term impacts of different fertilizer P application rates on maize yield, agronomic P efficiency, optimal P rates for yield maximization, and predictive models for sustainable crop production and environmental protection across soils with different STP status. Methods: The current study collected and analysed maize plant and soil data spanning from 2011 to 2021 from an ongoing long-term field experiment conducted on three different STP status soils i.e., medium P (MPS), high P (HPS), and very high P (VHPS) soils. The experiment involves five different fertilizer P application rates No-P, 13, 26, 39, and 52 kg P ha−1. Results: The results indicated a significant increase in maize grain yield and P bioavailability with the application of 13 kg ha−1 of fertilizer P in VHPS (>50.0 kg P ha−1) and 26 kg ha−1 in both HPS (22.5–0.0 kg P ha−1) and MPS (12.5–22.5 kg P ha−1). Improved agronomic efficiency reducing P rate to half of the recommended 26 kg P ha−1 was estimated in VHPS. The economically optimal P rate (EOPR) model consistently sustains crop yield with lower P rates. Among the different machine learning algorithms, multiple linear regression (MLR) was found more reliable in predictive accuracy. The decrease in predicted grain yield and increase in predicted soil P accumulation at P rates of 26 kg P ha−1 and above in varying P status soils underscores the need for judicious P fertilization practices to avoid negative impacts on yield. Conclusions: The P application required to obtain an average maize yield of 6000 kg ha−1 with relatively high P use efficiency, fertilizer P applications of 35.2 kg ha−1 in VHPS, 37.1 kg ha−1 in HPS, and 41.1 kg ha−1 in MPS based on STP status is more economical. Smart agriculture, using machine learning algorithms helps in ensuring effective P utilization over the long term while minimizing negative ecological impacts. Implications: The sustainable growth of maize crops will necessitate a reduction in P application rates, and P optimization should need further attention to explore the microbial dissolution potential of residual P."
10.1007/s10845-023-02272-4,supervised,"Additive Manufacturing (AM) and in particular has gained significant attention due to its capability to produce complex geometries using various materials, resulting in cost and mass reduction per part. However, metal AM parts often contain internal defects inherent to the manufacturing process. Non-Destructive Testing (NDT), particularly Computed Tomography (CT), is commonly employed for defect analysis. Today adopted standard inspection techniques are costly and time-consuming, therefore an automatic approach is needed. This paper presents a novel eXplainable Artificial Intelligence (XAI) methodology for defect detection and characterization. To classify pixel data from CT images as pores or inclusions, the proposed method utilizes Support Vector Machine (SVM), a supervised machine learning algorithm, trained with an Area Under the Curve (AUC) of 0.94. Density-Based Spatial Clustering with the Application of Noise (DBSCAN) is subsequently applied to cluster the identified pixels into separate defects, and finally, a convex hull is employed to characterize the identified clusters based on their size and shape. The effectiveness of the methodology is evaluated on Ti6Al4V specimens, comparing the results obtained from manual inspection and the ML-based approach with the guidance of a domain expert. This work establishes a foundation for automated defect detection, highlighting the crucial role of XAI in ensuring trust in NDT, thereby offering new possibilities for the evaluation of AM components."
10.1007/s11227-025-07032-0,supervised,"Variational quantum algorithms (VQAs) are hybrid algorithms that combine quantum computing capabilities with classical machine learning (ML) tasks, utilizing classical optimizers to train parametrized quantum circuits. This work demonstrates their practical utility by addressing regression tasks in an industrially relevant context: modelling dendritic solidification in metals, a process crucial for determining mechanical properties in additive manufacturing. By comparing a classical surrogate model based on extreme gradient boosting with a hybrid classical-quantum VQA model, this work shows that VQAs can serve as a viable alternative for computationally expensive surrogate modelling. These findings highlight the potential of VQAs to tackle complex physical phenomena in high-cost computational scenarios, advancing their application in real-world industrial ML challenges."
10.3390/pr12091890,supervised,"Single-well productivity is a crucial metric for assessing the effectiveness of petroleum reservoir development. The accurate prediction of productivity is essential for achieving the efficient and economical development of oil–gas reservoirs. Traditional productivity prediction methods (empirical formulae and numerical simulation) are limited to specific reservoir types. There are few influencing factors, and a large number of ideal assumptions are made for the assumed conditions when predicting productivity. The application scenario is ideal. However, in tight oil reservoirs, numerous factors affect productivity, and their interactions exhibit significant complexity. Continuing to use traditional reservoir productivity prediction methods may result in significant calculation errors and lead to economic losses in oilfield development. To enhance the accuracy of tight reservoir productivity predictions and achieve economical and efficient development, this paper investigates the tight reservoir in the WZ block of the Beibuwan area, considering the impact of geological and engineering factors on productivity; the random forest tree and Spearman correlation coefficient are used to analyze the main influencing factors of productivity. The back propagation neural network optimized by particle swarm optimization was employed to develop a productivity prediction model (PSO-BP model) for offshore deep and ultra-deep tight reservoirs. The actual test well data of the oilfield are substituted into this model. The analysis results of the example application yielded an RMSE of 0.032, an MAE of 1.209, and an R2 value of 0.919. Compared with traditional productivity prediction methods, this study concludes that the model is both reasonable and practical. The calculation speed is faster and the calculation result is more accurate, which can greatly reduce productivity errors. The model constructed in this paper is well suited for predicting the productivity of tight reservoirs within the WZ block. It offers substantial guidance for predicting the productivity of similar reservoirs and supports the economical and efficient development of petroleum reservoirs."
10.1016/j.petrol.2019.106726,supervised,"V.It is imperative that wells in an oil field be located and controlled in an optimal fashion to maximize asset value while satisfying the optimization constraints which can be in the form of production limits, water cut, or well spacing. Computational optimization algorithms coupled with a reservoir simulator have become increasingly popular in determining the optimal locations of wells and the optimal controls to be imposed on them. These algorithms should be able to deal with highly non-linear objective functions, the absence of gradient information, and a limited reservoir simulation budget. In this work, we considered derivative-free and non-invasive techniques: Enhanced Success History-Based Adaptive Differential Evolution (ESHADE) strategy with linear population size reduction, which is a variant of L-SHADE (recognized as one of the state-of-the-art global stochastic optimizers for continuous variable), and a Mesh Adaptive Direct Search (MADS) local pattern search method. These two methods are hybridized to develop a hybrid framework (E-MADS) that combines the advantageous aspects of both methods in order to improve optimization efficiency. In order to further improve the efficiency of the framework, gradient boosting machine learning technique is used to generate proxy model, based on regression and classification methods, to predict the objective function and classify optimization solutions into feasibless (satisfies all prescribed constraints) and infeasible groups. This information is then used to screen out solutions that are not expected to improve the objective function. Applications of these algorithms to the joint optimization of well location and time-varying control problem, with bounds and nonlinear constraints, are presented in this work. ESHADE is shown to outperform traditional global optimization algorithms such as Particle Swarm Optimization (PSO) and a real-coded Genetic Algorithm (GA). The E-MADS hybrid is also shown to have a superior performance relative to the standalone ESHADE and MADS methods for the joint optimization problem."
