ml_method,label
http://h-da.de/ml-ontology/adaboost,adaboost
http://h-da.de/ml-ontology/affinity_propagation,affinity propagation
http://h-da.de/ml-ontology/agglomerative_clustering,agglomerative clustering
http://h-da.de/ml-ontology/hierarchical_clustering,hierarchical clustering
http://h-da.de/ml-ontology/arsenal_ensemble,Arsenal ensemble
http://h-da.de/ml-ontology/arsenal_ensemble,Arsenal
http://h-da.de/ml-ontology/artificial_neural_network,artificial neural network
http://h-da.de/ml-ontology/artificial_neural_network,ANN
http://h-da.de/ml-ontology/artificial_neural_network,neural network
http://h-da.de/ml-ontology/autoencoder,autoencoder
http://h-da.de/ml-ontology/autoencoder,AE
http://h-da.de/ml-ontology/autoregressive_integrated_moving_average,autoregressive integrated moving average
http://h-da.de/ml-ontology/autoregressive_integrated_moving_average,ARIMA
http://h-da.de/ml-ontology/bag_of_sfa_symbols,Bag-of-SFA-Symbols
http://h-da.de/ml-ontology/bag_of_sfa_symbols,BOSS
http://h-da.de/ml-ontology/bayesian_linear_regression,Bayesian linear regression
http://h-da.de/ml-ontology/linear_regression,linear regression
http://h-da.de/ml-ontology/bayesian_neural_network,Bayesian neural network
http://h-da.de/ml-ontology/bernoulli_naive_bayes,Bernoulli naive bayes
http://h-da.de/ml-ontology/balanced_iterative_reducing_and_clustering_using_hierarchies,balanced iterative reducing and clustering using hierarchies
http://h-da.de/ml-ontology/balanced_iterative_reducing_and_clustering_using_hierarchies,BIRCH
http://h-da.de/ml-ontology/boltzman_machine,Boltzman machine
http://h-da.de/ml-ontology/boosted_decision_tree,boosted decision tree
http://h-da.de/ml-ontology/decision_tree,decision tree
http://h-da.de/ml-ontology/c_means,c-means
http://h-da.de/ml-ontology/canonical_correlation_analysis,canonical correlation analysis
http://h-da.de/ml-ontology/canonical_correlation_analysis,CCA
http://h-da.de/ml-ontology/canonical_interval_forest,Canonical Interval Forest
http://h-da.de/ml-ontology/canonical_interval_forest,CIF
http://h-da.de/ml-ontology/canonical_time_series_characteristics,Canonical Time-series Characteristics
http://h-da.de/ml-ontology/canonical_time_series_characteristics,catch22
http://h-da.de/ml-ontology/catboost,catboost
http://h-da.de/ml-ontology/gradient_boosting_tree,gradient boosting tree
http://h-da.de/ml-ontology/collaborative_filtering,collaborative filtering
http://h-da.de/ml-ontology/conceptual_clustering,conceptual clustering
http://h-da.de/ml-ontology/conditional_markov_model,conditional markov model
http://h-da.de/ml-ontology/markov_model,Markov model
http://h-da.de/ml-ontology/markov_model,MM
http://h-da.de/ml-ontology/conditional_random_field,conditional random field
http://h-da.de/ml-ontology/conditional_random_field,CRF
http://h-da.de/ml-ontology/contractable_boss,Contractable BOSS
http://h-da.de/ml-ontology/contractable_boss,cBOSS
http://h-da.de/ml-ontology/convolutional_neural_network,convolutional neural network
http://h-da.de/ml-ontology/convolutional_neural_network,CNN
http://h-da.de/ml-ontology/deep_convolutional_lstm,Deep Convolutional LSTM
http://h-da.de/ml-ontology/deep_convolutional_lstm,DeepConvLSTM
http://h-da.de/ml-ontology/density_based_clustering,density-based clustering
http://h-da.de/ml-ontology/density_based_spatial_clustering_of_applications_with_noise,density-based spatial clustering of applications with noise
http://h-da.de/ml-ontology/density_based_spatial_clustering_of_applications_with_noise,DBSCAN
http://h-da.de/ml-ontology/diverse_representation_canonical_interval_forest,Diverse Representation Canonical Interval Forest
http://h-da.de/ml-ontology/diverse_representation_canonical_interval_forest,DrCIF
http://h-da.de/ml-ontology/elastic_ensemble,Elastic Ensemble
http://h-da.de/ml-ontology/elastic_ensemble,EE
http://h-da.de/ml-ontology/expectation_maximization_clustering,expectation maximization clustering
http://h-da.de/ml-ontology/exponential_smoothing,exponential smoothing
http://h-da.de/ml-ontology/extra_tree,extra tree
http://h-da.de/ml-ontology/feed_forward_neural_network,feed-forward neural network
http://h-da.de/ml-ontology/feed_forward_neural_network,FFN
http://h-da.de/ml-ontology/fresh_prince,Fresh PRINCE
http://h-da.de/ml-ontology/gated_recurrent_unit,gated recurrent unit
http://h-da.de/ml-ontology/gated_recurrent_unit,GRU
http://h-da.de/ml-ontology/gaussian_mixture_model,Gaussian mixture model
http://h-da.de/ml-ontology/gaussian_mixture_model,GMM
http://h-da.de/ml-ontology/gaussian_naives_bayes,Gaussian naives bayes
http://h-da.de/ml-ontology/gaussian_naives_bayes,GNB
http://h-da.de/ml-ontology/gaussian_process,Gaussian process
http://h-da.de/ml-ontology/gaussian_process,GP
http://h-da.de/ml-ontology/generalized_linear_model,generalized linear model
http://h-da.de/ml-ontology/generalized_linear_model,GLM
http://h-da.de/ml-ontology/generative_adversarial_network,generative adversarial network
http://h-da.de/ml-ontology/generative_adversarial_network,GAN
http://h-da.de/ml-ontology/hidden_markov_model,hidden markov model
http://h-da.de/ml-ontology/hidden_markov_model,HMM
http://h-da.de/ml-ontology/hierachical_dbscan,hierachical dbscan
http://h-da.de/ml-ontology/hierachical_dbscan,HDBSCAN
http://h-da.de/ml-ontology/hierarchical_vote_collective_of_transformation_based_ensembles_v1,Hierarchical Vote Collective of Transformation-based Ensembles V1
http://h-da.de/ml-ontology/hierarchical_vote_collective_of_transformation_based_ensembles_v1,HIVE-COTE V1
http://h-da.de/ml-ontology/hierarchical_vote_collective_of_transformation_based_ensembles_v2,Hierarchical Vote Collective of Transformation-based Ensembles V2
http://h-da.de/ml-ontology/hierarchical_vote_collective_of_transformation_based_ensembles_v2,HIVE-COTE V2
http://h-da.de/ml-ontology/inception_fully_convolutional_network,Inception Fully Convolutional Network
http://h-da.de/ml-ontology/inception_fully_convolutional_network,InceptionFCN
http://h-da.de/ml-ontology/inception_time,Inception Time
http://h-da.de/ml-ontology/inception_time,InceptionTime
http://h-da.de/ml-ontology/independent_component_analysis,independent component analysis
http://h-da.de/ml-ontology/independent_component_analysis,ICA
http://h-da.de/ml-ontology/individual_boss,Individual BOSS
http://h-da.de/ml-ontology/individual_boss,IndividualBOSS
http://h-da.de/ml-ontology/individual_temporal_dictionary_ensemble,Individual Temporal Dictionary Ensemble
http://h-da.de/ml-ontology/individual_temporal_dictionary_ensemble,IndividualTDE
http://h-da.de/ml-ontology/k_means,k-means
http://h-da.de/ml-ontology/k_modes,k-modes
http://h-da.de/ml-ontology/k_nearest_neighbor,k-nearest neighbor
http://h-da.de/ml-ontology/k_nearest_neighbor,kNN
http://h-da.de/ml-ontology/kernel_ridge_regression,Kernel ridge regression
http://h-da.de/ml-ontology/ridge_regression,ridge regression
http://h-da.de/ml-ontology/kernel_svm,kernel svm
http://h-da.de/ml-ontology/support_vector_machine,support vector machine
http://h-da.de/ml-ontology/support_vector_machine,SVM
http://h-da.de/ml-ontology/kohonen_network,Kohonen network
http://h-da.de/ml-ontology/lasso_regression,Lasso regression
http://h-da.de/ml-ontology/latent_dirichlet_allocation,latent dirichlet allocation
http://h-da.de/ml-ontology/latent_dirichlet_allocation,LDA
http://h-da.de/ml-ontology/light_gradient_boosting_machine,light gradient boosting machine
http://h-da.de/ml-ontology/light_gradient_boosting_machine,LGBM
http://h-da.de/ml-ontology/linear_discriminant_analysis,Linear Discriminant Analysis
http://h-da.de/ml-ontology/linear_svc,linear SVC
http://h-da.de/ml-ontology/linear_svm,linear SVM
http://h-da.de/ml-ontology/local_linear_embedding,local linear embedding
http://h-da.de/ml-ontology/local_linear_embedding,LLE
http://h-da.de/ml-ontology/logistic_regression,logistic regression
http://h-da.de/ml-ontology/long_short_term_memory,long short term memory
http://h-da.de/ml-ontology/long_short_term_memory,LSTM
http://h-da.de/ml-ontology/martrix_profile,Martrix Profile
http://h-da.de/ml-ontology/martrix_profile,MP
http://h-da.de/ml-ontology/maximum_entropy_markov_model,maximum entropy Markov model
http://h-da.de/ml-ontology/maximum_entropy_markov_model,MEMM
http://h-da.de/ml-ontology/mean_shift_clustering,Mean shift Clustering
http://h-da.de/ml-ontology/multi_scale_convolutional_neural_networks,Multi-Scale Convolutional Neural Networks
http://h-da.de/ml-ontology/multi_scale_convolutional_neural_networks,MCNN
http://h-da.de/ml-ontology/multilayer_perceptron,multilayer perceptron
http://h-da.de/ml-ontology/multilayer_perceptron,MLP
http://h-da.de/ml-ontology/multinominal_naive_bayes,multinominal naive bayes
http://h-da.de/ml-ontology/multivariate_regression,multivariate regression
http://h-da.de/ml-ontology/multivariate_symbolic_extension,MUltivariate Symbolic Extension
http://h-da.de/ml-ontology/multivariate_symbolic_extension,MUSE
http://h-da.de/ml-ontology/ordering_points_to_identify_the_clustering_structure,ordering points to identify the clustering structure
http://h-da.de/ml-ontology/ordering_points_to_identify_the_clustering_structure,OPTICS
http://h-da.de/ml-ontology/orthogonal_matching_pursuit,Orthogonal Matching Pursuit
http://h-da.de/ml-ontology/passive_aggressive,passive aggressive
http://h-da.de/ml-ontology/perceptron,perceptron
http://h-da.de/ml-ontology/poisson_regression,poisson regression
http://h-da.de/ml-ontology/polynomial_regression,polynomial regression
http://h-da.de/ml-ontology/prophet,prophet
http://h-da.de/ml-ontology/proximity_forest,Proximity Forest
http://h-da.de/ml-ontology/proximity_forest,PF
http://h-da.de/ml-ontology/decision_stump,decision stump
http://h-da.de/ml-ontology/proximity_tree,Proximity Tree
http://h-da.de/ml-ontology/quadratic_discriminant_analysis,Quadratic Discriminant Analysis
http://h-da.de/ml-ontology/random_forest,random forest
http://h-da.de/ml-ontology/distributed_random_forest,distributed random forest
http://h-da.de/ml-ontology/distributed_random_forest,DRF
http://h-da.de/ml-ontology/random_interval,Random Interval
http://h-da.de/ml-ontology/random_interval_spectral_ensemble,Random Interval Spectral Ensemble
http://h-da.de/ml-ontology/random_interval_spectral_ensemble,RISE
http://h-da.de/ml-ontology/random_kitchen_sinks_sampler,random kitchen sinks sampler
http://h-da.de/ml-ontology/random_sample_consensus,RANdom SAmple Consensus
http://h-da.de/ml-ontology/random_sample_consensus,RANSAC
http://h-da.de/ml-ontology/recurrent_nn,recurrent nn
http://h-da.de/ml-ontology/recurrent_nn,RNN
http://h-da.de/ml-ontology/residual_neural_network,Residual Neural Network
http://h-da.de/ml-ontology/residual_neural_network,ResNet
http://h-da.de/ml-ontology/ridge_classifier,Ridge Classifier
http://h-da.de/ml-ontology/seasonal_autoregressive_integrated_moving_average_exogenous,seasonal autoregressive integrated moving average exogenous
http://h-da.de/ml-ontology/seasonal_autoregressive_integrated_moving_average_exogenous,SARIMAX
http://h-da.de/ml-ontology/self_organizing_map,self-organizing map
