doi,task,taskLabel,score,rank
10.1002/9781118462706,http://h-da.de/ml-ontology/regression,regression,0.41648679971694946,1
10.1002/9781119836780.ch7,http://h-da.de/ml-ontology/binary_classification,binary classification,0.35596898198127747,1
10.1002/9781119847717.ch7,http://h-da.de/ml-ontology/time_series_classification,time series classification,0.4025927782058716,1
10.1002/9781119865605.ch3,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.38642001152038574,1
10.1002/9781394155408,http://h-da.de/ml-ontology/association_rule_learning,association rule learning,0.489374041557312,1
10.1002/9781394195336.ch7,http://h-da.de/ml-ontology/binary_classification,binary classification,0.39563053846359253,1
10.1002/9781394204878.ch13,http://h-da.de/ml-ontology/image_classification,image classification,0.4229496717453003,1
10.1002/9781394214259,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.4478945732116699,1
10.1002/9781394216147,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3546242117881775,1
10.1002/9781394220649,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.4192717671394348,1
10.1002/9781394234271,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.4515562057495117,1
10.1002/9781394248506.ch17,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.36642175912857056,1
10.1002/9781394249466.ch10,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.4095456600189209,1
10.1002/9781394270804.ch10,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.39092883467674255,1
10.1002/9781394272587.ch13,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.36948806047439575,1
10.1002/9781394275076.ch8,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.41878318786621094,1
10.1002/9781394275359.ch28,http://h-da.de/ml-ontology/image_classification,image classification,0.4393225908279419,1
10.1002/9781394287109.ch2,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.48611390590667725,1
10.1002/9781394301287.ch11,http://h-da.de/ml-ontology/regression,regression,0.36484184861183167,1
10.1002/9781394301287.ch6,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3909420073032379,1
10.1002/9781394302932.ch1,http://h-da.de/ml-ontology/translation,translation,0.3769703507423401,1
10.1002/9781394316977.ch7,http://h-da.de/ml-ontology/regression,regression,0.5157331824302673,1
