doi,title
10.3390/asi6050076,Measuring Carbon in Cities and Their Buildings through Reverse Engineering of Life Cycle Assessment
10.30638/eemj.2023.018,END-OF-LIFE VEHICLES ASSESSMENT OF THE AUTOMOBILE INDUSTRY USING REVERSE LOGISTICS SUPPLY CHAIN AND MACHINE LEARNING ALGORITHMS
10.1115/DETC2023-114718,PREDICTING THE QUANTITY OF RECYCLED END-OF-LIFE PRODUCTS USING A HYBRID SVR-BASED MODEL
10.1002/amp2.70032,Improvements to Disassembly Lot Sizing With Task Control Through Reinforcement Learning
10.1016/j.dche.2023.100103,Machine learning applications in biomass pyrolysis: From biorefinery to end-of-life product management
10.1109/ICMCSI64620.2025.10883185,Sustainable Industrial Symbiosis using IoT and Gradient Boosting for Efficient Waste Management
10.1016/j.enconman.2024.118996,A systematic study involving patent analysis and theoretical modeling of eco-friendly technologies for electric vehicles and power batteries to ease carbon emission from the transportation industry
10.1109/TII.2025.3598490,Computerized Automation and Machine Learning for Prediction of Melt Mass-Flow Rate Using Custom-Built Machine in Industrial IoT
10.1016/j.energy.2021.120113,Improving energy efficiency of carbon fiber manufacturing through waste heat recovery: A circular economy approach with machine learning
10.1016/j.conbuildmat.2023.132502,Manufacture of artificial lightweight aggregates recycled from anaerobic digested sewage sludge and process optimization by machine learning modeling techniques
10.1016/j.rser.2023.113280,"Digital twin of electric vehicle battery systems: Comprehensive review of the use cases, requirements, and platforms"
10.1007/s10845-022-01936-x,A novel disassembly process of end-of-life lithium-ion batteries enhanced by online sensing and machine learning techniques
10.1115/1.4056573,Multi-Objective Evolutionary Algorithm with Machine Learning and Local Search for an Energy-Efficient Disassembly Line Balancing Problem in Remanufacturing
10.3390/su16188152,"Sustainable Textile Manufacturing with Revolutionizing Textile Dyeing: Deep Learning-Based, for Energy Efficiency and Environmental-Impact Reduction, Pioneering Green Practices for a Sustainable Future"
10.1007/s41939-023-00356-5,Innovative machine learning approaches to predict the compressive strength of recycled plastic aggregate self-compacting concrete incorporating different waste ashes
10.1371/journal.pone.0300504,Optimizing strength of directly recycled aluminum chip-based parts through a hybrid RSM-GA-ANN approach in sustainable hot forging
10.1007/s10853-024-09447-1,Sustainable geopolymers from polyethylene terephthalate waste and industrial by-products: a comprehensive characterisation and performance predictions
10.1080/15376494.2023.2238220,Machine learning and RSM-CCD analysis of green concrete made from waste water plastic bottle caps: Towards performance and optimization
10.1016/B978-0-443-23724-9.00001-3,Journey of computational intelligence in sustainable computing and optimization techniques: An introduction
10.1007/s10668-022-02670-3,The influence of artificial intelligence adoption on circular economy practices in manufacturing industries
10.1016/j.clwas.2025.100296,Predictive modelling of mechanical properties of concrete using machine learning with secondary treated waste water and fly ash
10.1016/j.matdes.2025.113926,Low-cycle fatigue of laser powder bed fusion-processed AlSi10Mg using recycled powder: Experiments and machine learning-assisted lifetime prediction
10.1016/j.wmb.2025.01.004,Recycling waste materials in construction: Mechanical properties and predictive modeling of Waste-Derived cement substitutes
10.3390/polym17070940,Machine Learning-Based Process Control for Injection Molding of Recycled Polypropylene
10.3390/polym17060740,"Low-Heating-Rate Thermal Degradation of Date Seed Powder and HDPE Plastic: Machine Learning CDNN, MLRM, and Thermokinetic Analysis"
10.3390/machines13030239,VR Co-Lab: A Virtual Reality Platform for Human–Robot Disassembly Training and Synthetic Data Generation
10.1108/RPJ-03-2023-0108,Spatter detection and tracking in high-speed video observations of laser powder bed fusion
10.1016/j.compchemeng.2025.109220,BioProcessNexus: An open-source platform for surrogate techno economic models
10.1088/2053-1591/ad4006,Comparative assessment of supervised machine learning algorithms for predicting geometric characteristics of laser cladded inconel 718
10.1016/j.cie.2024.110044,Reinforcement Learning for Disassembly Task Control
10.1016/j.est.2025.119038,Investigation of cryogenic immersion effects on Li-ion and Na-ion batteries performance coupled with machine learning for capacity optimization
10.1016/j.heliyon.2024.e38609,Empowering the circular economy practices: Lifecycle assessment and machine learning-driven residual value prediction in IoT-enabled microwave oven
10.1080/21681015.2025.2497867,The circular supply chains in smart cities: a catalyst for sustainable development
10.3390/a17120562,Unlocking the Potential of Remanufacturing Through Machine Learning and Data-Driven Models—A Survey
10.1007/978-3-031-52649-7_3,Robotic Disassembly Sequence Planning and Line Balancing—Research Trends Review and Bibliometric Analysis
10.1007/s00170-024-14930-9,AI-driven Life Cycle Assessment for sustainable hybrid manufacturing and remanufacturing
10.1109/ICIPTM59628.2024.10563917,Compounding Process Optimization for Recycled Materials Using Machine Learning Algorithms
10.1109/ICICT60155.2024.10544632,Real-time Glass Recycling Quality Assurance and Contamination Reduction with IoT and Random Forest algorithm
10.1016/j.resconrec.2020.105073,The narrative of sustainability and circular economy - A longitudinal review of two decades of research
