doi,task,taskLabel,score,rank
10.1002/9781118462706,http://h-da.de/ml-ontology/regression,regression,0.41648679971694946,1
10.1002/9781118462706,http://h-da.de/ml-ontology/image_regression,image regression,0.3753003478050232,2
10.1002/9781118462706,http://h-da.de/ml-ontology/audio_regression,audio regression,0.35133227705955505,3
10.1002/9781119836780.ch7,http://h-da.de/ml-ontology/binary_classification,binary classification,0.35596898198127747,1
10.1002/9781119847717.ch7,http://h-da.de/ml-ontology/time_series_classification,time series classification,0.4025927782058716,1
10.1002/9781119847717.ch7,http://h-da.de/ml-ontology/binary_classification,binary classification,0.36791956424713135,2
10.1002/9781119847717.ch7,http://h-da.de/ml-ontology/audio_classification,audio classification,0.3505347669124603,3
10.1002/9781119865605.ch3,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.38642001152038574,1
10.1002/9781394155408,http://h-da.de/ml-ontology/association_rule_learning,association rule learning,0.489374041557312,1
10.1002/9781394155408,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.4837748110294342,2
10.1002/9781394155408,http://h-da.de/ml-ontology/feature_selection,feature selection,0.4804408848285675,3
10.1002/9781394155408,http://h-da.de/ml-ontology/classification,classification,0.4701845645904541,4
10.1002/9781394155408,http://h-da.de/ml-ontology/binary_classification,binary classification,0.4455978274345398,5
10.1002/9781394195336.ch7,http://h-da.de/ml-ontology/binary_classification,binary classification,0.39563053846359253,1
10.1002/9781394204878.ch13,http://h-da.de/ml-ontology/image_classification,image classification,0.4229496717453003,1
10.1002/9781394204878.ch13,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.4179864823818207,2
10.1002/9781394204878.ch13,http://h-da.de/ml-ontology/tabular_classification,tabular classification,0.3830132484436035,3
10.1002/9781394204878.ch13,http://h-da.de/ml-ontology/binary_classification,binary classification,0.38238900899887085,4
10.1002/9781394204878.ch13,http://h-da.de/ml-ontology/classification,classification,0.35847875475883484,5
10.1002/9781394214259,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.4478945732116699,1
10.1002/9781394214259,http://h-da.de/ml-ontology/binary_classification,binary classification,0.4426867365837097,2
10.1002/9781394214259,http://h-da.de/ml-ontology/image_classification,image classification,0.4093446433544159,3
10.1002/9781394214259,http://h-da.de/ml-ontology/classification,classification,0.3824387788772583,4
10.1002/9781394214259,http://h-da.de/ml-ontology/association_rule_learning,association rule learning,0.3504636287689209,5
10.1002/9781394216147,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3546242117881775,1
10.1002/9781394220649,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.4192717671394348,1
10.1002/9781394220649,http://h-da.de/ml-ontology/classification,classification,0.36659500002861023,2
10.1002/9781394220649,http://h-da.de/ml-ontology/binary_classification,binary classification,0.36602768301963806,3
10.1002/9781394234271,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.4515562057495117,1
10.1002/9781394234271,http://h-da.de/ml-ontology/binary_classification,binary classification,0.4076341390609741,2
10.1002/9781394248506.ch17,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.36642175912857056,1
10.1002/9781394249466.ch10,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.4095456600189209,1
10.1002/9781394270804.ch10,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.39092883467674255,1
10.1002/9781394270804.ch10,http://h-da.de/ml-ontology/binary_classification,binary classification,0.36402392387390137,2
10.1002/9781394272587.ch13,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.36948806047439575,1
10.1002/9781394272587.ch13,http://h-da.de/ml-ontology/binary_classification,binary classification,0.3600952625274658,2
10.1002/9781394275076.ch8,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.41878318786621094,1
10.1002/9781394275076.ch8,http://h-da.de/ml-ontology/audio_regression,audio regression,0.37663009762763977,2
10.1002/9781394275076.ch8,http://h-da.de/ml-ontology/regression,regression,0.3653602600097656,3
10.1002/9781394275076.ch8,http://h-da.de/ml-ontology/time_series_forecasting,time series forecasting,0.35799527168273926,4
10.1002/9781394275076.ch8,http://h-da.de/ml-ontology/binary_classification,binary classification,0.35016053915023804,5
10.1002/9781394275359.ch28,http://h-da.de/ml-ontology/image_classification,image classification,0.4393225908279419,1
10.1002/9781394275359.ch28,http://h-da.de/ml-ontology/binary_classification,binary classification,0.39020106196403503,2
10.1002/9781394275359.ch28,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.37369048595428467,3
10.1002/9781394287109.ch2,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.48611390590667725,1
10.1002/9781394287109.ch2,http://h-da.de/ml-ontology/binary_classification,binary classification,0.4475688934326172,2
10.1002/9781394287109.ch2,http://h-da.de/ml-ontology/image_classification,image classification,0.42424333095550537,3
10.1002/9781394287109.ch2,http://h-da.de/ml-ontology/anomaly_detection,anomaly detection,0.39042723178863525,4
10.1002/9781394287109.ch2,http://h-da.de/ml-ontology/time_series_analysis,time series analysis,0.3896690607070923,5
10.1002/9781394301287.ch11,http://h-da.de/ml-ontology/regression,regression,0.36484184861183167,1
10.1002/9781394301287.ch6,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3909420073032379,1
10.1002/9781394302932.ch1,http://h-da.de/ml-ontology/translation,translation,0.3769703507423401,1
10.1002/9781394316977.ch7,http://h-da.de/ml-ontology/regression,regression,0.5157331824302673,1
10.1002/9781394316977.ch7,http://h-da.de/ml-ontology/time_series_forecasting,time series forecasting,0.4315493702888489,2
10.1002/adem.202300740,http://h-da.de/ml-ontology/image_regression,image regression,0.350446879863739,1
10.1002/adma.202005713,http://h-da.de/ml-ontology/image_regression,image regression,0.36039453744888306,1
10.1002/adma.202005713,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.35562628507614136,2
10.1002/admt.201800136,http://h-da.de/ml-ontology/image_regression,image regression,0.3611980676651001,1
10.1002/admt.201800136,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.35853177309036255,2
10.1002/admt.201800653,http://h-da.de/ml-ontology/image_classification,image classification,0.38851916790008545,1
10.1002/admt.201800653,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3527691960334778,2
10.1002/adsu.202200416,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3622913360595703,1
10.1002/adts.202500086,http://h-da.de/ml-ontology/image_regression,image regression,0.3603905439376831,1
10.1002/adts.202500086,http://h-da.de/ml-ontology/tabular_regression,tabular regression,0.35966700315475464,2
10.1002/advs.202404212,http://h-da.de/ml-ontology/translation,translation,0.35047170519828796,1
10.1002/aesr.202300160,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3516296148300171,1
10.1002/aic.17210,http://h-da.de/ml-ontology/image_regression,image regression,0.44266796112060547,1
10.1002/aic.17210,http://h-da.de/ml-ontology/regression,regression,0.35434770584106445,2
10.1002/aic.17715,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.46979624032974243,1
10.1002/aic.17715,http://h-da.de/ml-ontology/regression,regression,0.4019533693790436,2
10.1002/aic.17715,http://h-da.de/ml-ontology/feature_selection,feature selection,0.3756176829338074,3
10.1002/aic.17715,http://h-da.de/ml-ontology/image_regression,image regression,0.3591235876083374,4
10.1002/aic.17715,http://h-da.de/ml-ontology/audio_regression,audio regression,0.35480543971061707,5
10.1002/aic.18076,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3768669366836548,1
10.1002/aic.18259,http://h-da.de/ml-ontology/translation,translation,0.4583088159561157,1
10.1002/aic.18259,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3584989905357361,2
10.1002/aic.18356,http://h-da.de/ml-ontology/time_series_forecasting,time series forecasting,0.35669684410095215,1
10.1002/aic.18621,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3650595545768738,1
10.1002/aisy.202500279,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3549981713294983,1
10.1002/aisy.202500427,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.40420371294021606,1
10.1002/aisy.202500427,http://h-da.de/ml-ontology/image_regression,image regression,0.3587283492088318,2
10.1002/amp2.10079,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3541025221347809,1
10.1002/amp2.10130,http://h-da.de/ml-ontology/action_recognition,action recognition,0.38183343410491943,1
10.1002/amp2.10130,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3809177279472351,2
