doi,task,taskLabel,score,rank
10.1002/9781394155408,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.428928405046463,1
10.1002/9781394155408,http://h-da.de/ml-ontology/classification,classification,0.41861408948898315,2
10.1002/9781394155408,http://h-da.de/ml-ontology/association_rule_learning,association rule learning,0.4101335406303406,3
10.1002/9781394155408,http://h-da.de/ml-ontology/recommendation,recommendation,0.3583333492279053,4
10.1002/9781394155408,http://h-da.de/ml-ontology/action_recognition,action recognition,0.3523218035697937,5
10.1002/9781394214259,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3854484558105469,1
10.1002/9781394214259,http://h-da.de/ml-ontology/action_recognition,action recognition,0.35231876373291016,2
10.1002/9781394287109.ch2,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.36792027950286865,1
10.1002/9781394316977.ch7,http://h-da.de/ml-ontology/time_series_forecasting,time series forecasting,0.4195602536201477,1
10.1002/9781394316977.ch7,http://h-da.de/ml-ontology/regression,regression,0.36433058977127075,2
10.1002/adts.202500086,http://h-da.de/ml-ontology/image_regression,image regression,0.3654981255531311,1
10.1002/aic.17210,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.39329132437705994,1
10.1002/aic.17715,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.4172936677932739,1
10.1002/amp2.10130,http://h-da.de/ml-ontology/action_recognition,action recognition,0.3984491229057312,1
10.1002/biot.201400790,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.35847872495651245,1
10.1002/bit.28486,http://h-da.de/ml-ontology/regression,regression,0.36301010847091675,1
10.1002/bit.28499,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.37603968381881714,1
10.1002/bit.28903,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.38424789905548096,1
10.1002/bit.28903,http://h-da.de/ml-ontology/image_regression,image regression,0.3642721176147461,2
10.1002/bit.28903,http://h-da.de/ml-ontology/regression,regression,0.363592267036438,3
10.1002/btpr.2945,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3759157657623291,1
10.1002/btpr.3252,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.39784789085388184,1
10.1002/btpr.3493,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.38353365659713745,1
10.1002/btpr.3520,http://h-da.de/ml-ontology/regression,regression,0.39961397647857666,1
10.1002/btpr.3520,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3557419180870056,2
10.1002/ceat.202300191,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3540344834327698,1
10.1002/ceat.202300197,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3626844584941864,1
10.1002/cjce.24831,http://h-da.de/ml-ontology/audio_classification,audio classification,0.39182060956954956,1
10.1002/cjce.25433,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3504403829574585,1
10.1002/cpe.6460,http://h-da.de/ml-ontology/image_regression,image regression,0.41344788670539856,1
10.1002/cpe.6460,http://h-da.de/ml-ontology/regression,regression,0.38756701350212097,2
10.1002/cpe.6460,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3591563105583191,3
10.1002/cpe.7277,http://h-da.de/ml-ontology/classification,classification,0.3730875551700592,1
10.1002/dac.4780,http://h-da.de/ml-ontology/sentiment_analysis,sentiment analysis,0.4191799759864807,1
10.1002/dac.4780,http://h-da.de/ml-ontology/recommendation,recommendation,0.41141584515571594,2
10.1002/eng2.12291,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3772972524166107,1
10.1002/eng2.12291,http://h-da.de/ml-ontology/audio_classification,audio classification,0.3754684329032898,2
10.1002/eng2.12291,http://h-da.de/ml-ontology/time_series_classification,time series classification,0.37492242455482483,3
10.1002/er.6217,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.38301515579223633,1
10.1002/er.6631,http://h-da.de/ml-ontology/time_series_forecasting,time series forecasting,0.41085532307624817,1
10.1002/ese3.70253,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3557150959968567,1
10.1002/hcs2.90,http://h-da.de/ml-ontology/tabular_clustering,tabular clustering,0.43675506114959717,1
10.1002/hcs2.90,http://h-da.de/ml-ontology/clustering,clustering,0.43157386779785156,2
10.1002/jsfa.8506,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3785807192325592,1
10.1002/mma.9835,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3862592875957489,1
10.1002/mma.9835,http://h-da.de/ml-ontology/feature_reduction,feature reduction,0.3534682095050812,2
10.1002/nem.2154,http://h-da.de/ml-ontology/anomaly_detection,anomaly detection,0.39632487297058105,1
10.1002/nvsm.1724,http://h-da.de/ml-ontology/classification,classification,0.4587157666683197,1
10.1002/nvsm.1724,http://h-da.de/ml-ontology/recommendation,recommendation,0.413634717464447,2
10.1002/nvsm.1724,http://h-da.de/ml-ontology/text_classification,text classification,0.39142605662345886,3
10.1002/pc.28238,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.35227715969085693,1
10.1002/pen.27007,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.36079156398773193,1
10.1002/polb.24837,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3760935664176941,1
10.1002/prot.25899,http://h-da.de/ml-ontology/association_rule_learning,association rule learning,0.3520367741584778,1
10.1002/qre.2538,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3573700785636902,1
10.1002/qre.2980,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.4042988419532776,1
10.1002/qre.3256,http://h-da.de/ml-ontology/time_series_classification,time series classification,0.3806486129760742,1
10.1002/qre.3398,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.4064489006996155,1
10.1002/qre.3398,http://h-da.de/ml-ontology/feature_selection,feature selection,0.4009793996810913,2
10.1002/qre.3398,http://h-da.de/ml-ontology/association_rule_learning,association rule learning,0.37035590410232544,3
10.1002/qre.3760,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.40772905945777893,1
10.1002/qre.3797,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.44752389192581177,1
10.1002/rob.22089,http://h-da.de/ml-ontology/image_classification,image classification,0.35233592987060547,1
10.1002/smr.2163,http://h-da.de/ml-ontology/association_rule_learning,association rule learning,0.4244465231895447,1
10.1002/srin.202100813,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3758687376976013,1
10.1002/srin.202100820,http://h-da.de/ml-ontology/classification,classification,0.3667789399623871,1
10.1002/srin.202400551,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.35931307077407837,1
