doi,task,taskLabel,score,rank
10.1002/9781394155408,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.4289284348487854,1
10.1002/9781394155408,http://h-da.de/ml-ontology/classification,classification,0.41861405968666077,2
10.1002/9781394155408,http://h-da.de/ml-ontology/association_rule_learning,association rule learning,0.4101337492465973,3
10.1002/9781394155408,http://h-da.de/ml-ontology/recommendation,recommendation,0.35833320021629333,4
10.1002/9781394155408,http://h-da.de/ml-ontology/action_recognition,action recognition,0.35232168436050415,5
10.1002/9781394214259,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.38544848561286926,1
10.1002/9781394214259,http://h-da.de/ml-ontology/action_recognition,action recognition,0.3523187041282654,2
10.1002/9781394287109.ch2,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3679203987121582,1
10.1002/9781394316977.ch7,http://h-da.de/ml-ontology/time_series_forecasting,time series forecasting,0.4195604622364044,1
10.1002/9781394316977.ch7,http://h-da.de/ml-ontology/regression,regression,0.364330530166626,2
10.1002/adts.202500086,http://h-da.de/ml-ontology/image_regression,image regression,0.3654981255531311,1
10.1002/aic.17210,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3932913541793823,1
10.1002/aic.17715,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.41729357838630676,1
10.1002/amp2.10130,http://h-da.de/ml-ontology/action_recognition,action recognition,0.3984491527080536,1
10.1002/biot.201400790,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.35847875475883484,1
10.1002/bit.28486,http://h-da.de/ml-ontology/regression,regression,0.363010048866272,1
10.1002/bit.28499,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.37603962421417236,1
10.1002/bit.28903,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3842478096485138,1
10.1002/bit.28903,http://h-da.de/ml-ontology/image_regression,image regression,0.3642723262310028,2
10.1002/bit.28903,http://h-da.de/ml-ontology/regression,regression,0.3635922074317932,3
10.1002/btpr.2945,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3759157955646515,1
10.1002/btpr.3252,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.39784786105155945,1
10.1002/btpr.3493,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.38353362679481506,1
10.1002/btpr.3520,http://h-da.de/ml-ontology/regression,regression,0.39961403608322144,1
10.1002/btpr.3520,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3557420074939728,2
10.1002/ceat.202300191,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.35403457283973694,1
10.1002/ceat.202300197,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3626844584941864,1
10.1002/cjce.24831,http://h-da.de/ml-ontology/audio_classification,audio classification,0.39182060956954956,1
10.1002/cjce.25433,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3504403233528137,1
10.1002/cpe.6460,http://h-da.de/ml-ontology/image_regression,image regression,0.4134479761123657,1
10.1002/cpe.6460,http://h-da.de/ml-ontology/regression,regression,0.3875669240951538,2
10.1002/cpe.6460,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3591563105583191,3
10.1002/cpe.7277,http://h-da.de/ml-ontology/classification,classification,0.3730875551700592,1
10.1002/dac.4780,http://h-da.de/ml-ontology/sentiment_analysis,sentiment analysis,0.4191797375679016,1
10.1002/dac.4780,http://h-da.de/ml-ontology/recommendation,recommendation,0.4114157557487488,2
10.1002/eng2.12291,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3772972524166107,1
10.1002/eng2.12291,http://h-da.de/ml-ontology/audio_classification,audio classification,0.37546825408935547,2
10.1002/eng2.12291,http://h-da.de/ml-ontology/time_series_classification,time series classification,0.3749225437641144,3
10.1002/er.6217,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.383014976978302,1
10.1002/er.6631,http://h-da.de/ml-ontology/time_series_forecasting,time series forecasting,0.410855233669281,1
10.1002/ese3.70253,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3557150959968567,1
10.1002/hcs2.90,http://h-da.de/ml-ontology/tabular_clustering,tabular clustering,0.43675512075424194,1
10.1002/hcs2.90,http://h-da.de/ml-ontology/clustering,clustering,0.4315738081932068,2
10.1002/jsfa.8506,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.37858062982559204,1
10.1002/mma.9835,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3862592577934265,1
10.1002/mma.9835,http://h-da.de/ml-ontology/feature_reduction,feature reduction,0.35346823930740356,2
10.1002/nem.2154,http://h-da.de/ml-ontology/anomaly_detection,anomaly detection,0.3963248133659363,1
10.1002/nvsm.1724,http://h-da.de/ml-ontology/classification,classification,0.45871585607528687,1
10.1002/nvsm.1724,http://h-da.de/ml-ontology/recommendation,recommendation,0.41363459825515747,2
10.1002/nvsm.1724,http://h-da.de/ml-ontology/text_classification,text classification,0.3914260268211365,3
10.1002/pc.28238,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3522772789001465,1
10.1002/pen.27007,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.36079150438308716,1
10.1002/polb.24837,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3760935962200165,1
10.1002/prot.25899,http://h-da.de/ml-ontology/association_rule_learning,association rule learning,0.3520367443561554,1
10.1002/qre.2538,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3573700487613678,1
10.1002/qre.2980,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.40429890155792236,1
10.1002/qre.3256,http://h-da.de/ml-ontology/time_series_classification,time series classification,0.38064879179000854,1
10.1002/qre.3398,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.40644901990890503,1
10.1002/qre.3398,http://h-da.de/ml-ontology/feature_selection,feature selection,0.4009794592857361,2
10.1002/qre.3398,http://h-da.de/ml-ontology/association_rule_learning,association rule learning,0.3703559637069702,3
10.1002/qre.3760,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.40772902965545654,1
10.1002/qre.3797,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.44752395153045654,1
10.1002/rob.22089,http://h-da.de/ml-ontology/image_classification,image classification,0.35233598947525024,1
10.1002/smr.2163,http://h-da.de/ml-ontology/association_rule_learning,association rule learning,0.4244464933872223,1
10.1002/srin.202100813,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.37586888670921326,1
10.1002/srin.202100820,http://h-da.de/ml-ontology/classification,classification,0.3667789697647095,1
10.1002/srin.202400551,http://h-da.de/ml-ontology/feature_extraction,feature extraction,0.3593129515647888,1
